# time [s]     intensity
519.669961    1.492385
519.674321    0.073386
519.678682    -0.254338
519.683043    0.776629
519.687404    -1.191060
519.691764    0.702686
519.696125    0.522234
519.700486    -0.418682
519.704847    0.100811
519.709207    -1.257099
519.713568    -0.503171
519.717929    0.865338
519.722290    0.378132
519.726650    0.488059
519.731011    0.285277
519.735372    -0.645967
519.739733    0.111807
519.744093    -0.047788
519.748454    -0.313220
519.752815    1.207379
519.757176    0.386157
519.761536    -1.452735
519.765897    -0.708388
519.770258    -0.196067
519.774619    -1.151477
519.778979    -0.457686
519.783340    0.182008
519.787701    -0.256814
519.792062    -0.558159
519.796422    0.425195
519.800783    0.770265
519.805144    -1.009185
519.809505    0.497040
519.813865    0.781566
519.818226    -1.037085
519.822587    -0.752773
519.826948    1.065613
519.831308    -0.188252
519.835669    0.605409
519.840030    -0.511978
519.844391    -2.487822
519.848751    -0.289288
519.853112    -0.201072
519.857473    0.153959
519.861834    -0.154611
519.866194    -0.373989
519.870555    -0.806843
519.874916    -1.028542
519.879276    -1.013883
519.883637    -0.581729
519.887998    -1.565718
519.892359    0.592422
519.896719    -0.750395
519.901080    0.860095
519.905441    -0.906349
519.909802    0.294809
519.914162    0.679412
519.918523    0.384905
519.922884    -0.013866
519.927245    0.480507
519.931605    -0.269789
519.935966    0.281163
519.940327    -0.295852
519.944688    -0.259834
519.949048    -0.699294
519.953409    -1.026600
519.957770    -1.718901
519.962131    -0.089790
519.966491    1.356967
519.970852    0.340386
519.975213    -0.443287
519.979574    -0.222275
519.983934    0.096729
519.988295    0.188824
519.992656    0.147642
519.997017    1.049520
520.001377    0.405792
520.005738    -0.303420
520.010099    -1.489520
520.014460    -0.104526
520.018820    0.426518
520.023181    -1.344760
520.027542    0.532354
520.031903    -0.593835
520.036263    -1.175140
520.040624    -0.290140
520.044985    -0.037746
520.049346    0.039750
520.053706    -0.657129
520.058067    0.537243
520.062428    -0.286892
520.066789    1.473166
520.071149    0.389670
520.075510    1.036781
520.079871    0.230965
520.084232    0.122779
520.088592    0.311160
520.092953    1.254301
520.097314    1.879456
520.101674    -0.082555
520.106035    0.578927
520.110396    0.413122
520.114757    0.605978
520.119117    -0.040377
520.123478    1.529934
520.127839    0.009428
520.132200    -0.238441
520.136560    -0.739453
520.140921    1.054805
520.145282    0.749551
520.149643    -1.193371
520.154003    -1.464024
520.158364    0.265615
520.162725    -0.236641
520.167086    0.871336
520.171446    -1.011682
520.175807    -0.584845
520.180168    1.355137
520.184529    -0.284784
520.188889    -0.247824
520.193250    0.039172
520.197611    -0.517669
520.201972    0.202888
520.206332    -0.702787
520.210693    0.215365
520.215054    0.342126
520.219415    0.579407
520.223775    -0.080910
520.228136    -0.751266
520.232497    -0.168894
520.236858    -0.798693
520.241218    0.812739
520.245579    -0.668341
520.249940    -1.302391
520.254301    0.382977
520.258661    -1.056082
520.263022    0.529907
520.267383    -0.102335
520.271744    2.355786
520.276104    0.892010
520.280465    0.427318
520.284826    0.195311
520.289187    0.494982
520.293547    0.706153
520.297908    -1.053383
520.302269    0.953709
520.306629    0.412781
520.310990    0.120335
520.315351    0.592694
520.319712    -0.115775
520.324072    0.562010
520.328433    -0.319171
520.332794    -2.533271
520.337155    -0.414352
520.341515    -0.435281
520.345876    1.251904
520.350237    -0.935475
520.354598    0.329620
520.358958    -1.244720
520.363319    1.505810
520.367680    -0.364909
520.372041    1.044501
520.376401    -1.398815
520.380762    0.059072
520.385123    0.677023
520.389484    -0.492015
520.393844    -0.037078
520.398205    -0.473732
520.402566    0.271601
520.406927    -0.204878
520.411287    -0.968291
520.415648    -0.393986
520.420009    0.359938
520.424370    -0.717634
520.428730    -0.085306
520.433091    -0.297316
520.437452    1.380620
520.441813    0.959305
520.446173    -0.630153
520.450534    -0.904080
520.454895    0.244507
520.459256    0.102302
520.463616    0.811632
520.467977    0.188067
520.472338    -2.156473
520.476699    1.585334
520.481059    -0.715252
520.485420    -0.889856
520.489781    0.770650
520.494142    0.090529
520.498502    -0.017689
520.502863    -0.691679
520.507224    -1.220839
520.511584    -0.133475
520.515945    0.648547
520.520306    0.671173
520.524667    0.707697
520.529027    -0.733034
520.533388    -0.218547
520.537749    0.591036
520.542110    -0.189092
520.546470    -0.251831
520.550831    -1.261558
520.555192    1.304253
520.559553    -1.612492
520.563913    -0.953262
520.568274    0.510557
520.572635    0.858274
520.576996    -0.229778
520.581356    0.519560
520.585717    -0.067990
520.590078    0.748177
520.594439    0.404918
520.598799    0.326463
520.603160    -0.301902
520.607521    -0.428255
520.611882    -0.437969
520.616242    0.214189
520.620603    0.828068
520.624964    -1.170311
520.629325    -0.009455
520.633685    -0.270740
520.638046    0.902700
520.642407    -0.357079
520.646768    0.091073
520.651128    -0.087524
520.655489    -1.131214
520.659850    0.989153
520.664211    0.671702
520.668571    0.777750
520.672932    0.333490
520.677293    -1.475737
520.681654    0.828395
520.686014    -1.096028
520.690375    1.114793
520.694736    -0.594474
520.699097    0.787606
520.703457    0.630213
520.707818    0.462446
520.712179    -1.320424
520.716540    -0.245006
520.720900    -2.482825
520.725261    0.804938
520.729622    0.790791
520.733982    0.709096
520.738343    0.302328
520.742704    1.244767
520.747065    -1.510723
520.751425    -1.167707
520.755786    0.554893
520.760147    -0.312995
520.764508    0.775255
520.768868    -0.747505
520.773229    -0.143210
520.777590    -1.851441
520.781951    -0.806845
520.786311    -0.046064
520.790672    0.542848
520.795033    -0.153391
520.799394    -0.267372
520.803754    -0.467045
520.808115    1.343224
520.812476    0.208722
520.816837    1.040512
520.821197    1.006993
520.825558    0.428502
520.829919    -0.453137
520.834280    0.179581
520.838640    -0.134449
520.843001    -0.292260
520.847362    0.699231
520.851723    0.348042
520.856083    -0.719434
520.860444    1.454856
520.864805    0.479007
520.869166    0.411734
520.873526    1.132579
520.877887    -0.064476
520.882248    0.135254
520.886609    -0.003086
520.890969    0.158248
520.895330    -0.038983
520.899691    -0.152313
520.904052    -0.759688
520.908412    -0.038077
520.912773    0.503157
520.917134    -0.492623
520.921495    0.232239
520.925855    -0.293352
520.930216    1.588306
520.934577    0.773134
520.938937    0.911664
520.943298    0.488523
520.947659    0.273239
520.952020    -0.592897
520.956380    0.199394
520.960741    0.014914
520.965102    -1.196834
520.969463    -0.525442
520.973823    -1.524620
520.978184    1.177641
520.982545    0.511748
520.986906    -1.108006
520.991266    -0.032518
520.995627    -0.112373
520.999988    -1.366360
521.004349    -1.240842
521.008709    0.399696
521.013070    -0.582433
521.017431    0.834558
521.021792    -0.057567
521.026152    0.378502
521.030513    0.319641
521.034874    -0.270684
521.039235    0.544832
521.043595    -0.920678
521.047956    -1.139613
521.052317    0.899564
521.056678    -0.521481
521.061038    -1.082694
521.065399    0.597847
521.069760    1.006985
521.074121    0.082415
521.078481    0.092833
521.082842    1.034821
521.087203    0.252116
521.091564    0.379185
521.095924    0.194244
521.100285    -0.846549
521.104646    0.331803
521.109007    -0.389211
521.113367    -0.260305
521.117728    0.411139
521.122089    0.510315
521.126450    -1.038628
521.130810    -0.898829
521.135171    0.718338
521.139532    -0.602047
521.143892    -0.482043
521.148253    -0.429570
521.152614    0.298054
521.156975    -1.435849
521.161335    -0.971192
521.165696    1.348522
521.170057    0.079453
521.174418    0.402043
521.178778    -0.397000
521.183139    0.285624
521.187500    0.141315
521.191861    0.214904
521.196221    -0.096549
521.200582    -0.195682
521.204943    -0.845813
521.209304    0.420422
521.213664    0.791876
521.218025    0.090018
521.222386    0.622065
521.226747    0.346328
521.231107    -0.558513
521.235468    0.896616
521.239829    1.830217
521.244190    0.492437
521.248550    1.076864
521.252911    0.249216
521.257272    -0.034047
521.261633    -0.421417
521.265993    -0.095275
521.270354    -0.045600
521.274715    -0.702215
521.279076    1.616272
521.283436    -1.396072
521.287797    0.097415
521.292158    -1.961121
521.296519    -0.241340
521.300879    0.300595
521.305240    -2.090551
521.309601    0.170696
521.313962    -0.942751
521.318322    -0.212031
521.322683    0.496767
521.327044    1.430872
521.331405    0.877951
521.335765    -0.218408
521.340126    0.107086
521.344487    0.704233
521.348848    0.083120
521.353208    0.106758
521.357569    1.214605
521.361930    0.533578
521.366290    -0.287748
521.370651    0.570288
521.375012    -0.622728
521.379373    -0.181495
521.383733    -0.248189
521.388094    0.732157
521.392455    0.284156
521.396816    1.534312
521.401176    -0.145316
521.405537    -0.490447
521.409898    -0.469250
521.414259    -0.873109
521.418619    0.382516
521.422980    1.597694
521.427341    -0.632037
521.431702    0.100806
521.436062    0.036339
521.440423    1.041584
521.444784    -0.122747
521.449145    -0.085411
521.453505    0.043143
521.457866    1.417079
521.462227    0.798374
521.466588    -0.527530
521.470948    -0.575153
521.475309    0.035409
521.479670    -0.786149
521.484031    -1.777102
521.488391    2.023463
521.492752    -0.253978
521.497113    0.496167
521.501474    -0.147671
521.505834    0.135616
521.510195    0.936549
521.514556    -0.328888
521.518917    -0.573979
521.523277    1.337784
521.527638    0.542115
521.531999    -0.105785
521.536360    0.146782
521.540720    -0.137231
521.545081    -0.810104
521.549442    -0.613326
521.553803    0.731388
521.558163    0.879750
521.562524    0.707142
521.566885    1.023528
521.571245    0.362770
521.575606    0.153400
521.579967    0.204815
521.584328    -0.334429
521.588688    -0.597422
521.593049    1.664671
521.597410    0.484760
521.601771    -0.413297
521.606131    1.342849
521.610492    -0.620443
521.614853    -1.017859
521.619214    0.570230
521.623574    0.223608
